source,lang,expression,head,modifier,label,compositionality_score,compositionality_type,compositionality_token,raw_paraphrase,original_split,row_id,label_raw,label_norm,label_binary,contribution_label,compositionality_score_norm,compositionality_bin,paraphrase_candidates_maggie,wordnet_synonyms,wordnet_synonym1,paraphrase1_gpt55pro20260423,paraphrase1_gpt5nano20250807,canonical_paraphrase,paraphrase_candidates,has_paraphrase,split_701020,split_source
nc,eng,ancient history,history,ancient,,2.1333,,,old news(6);in the past(3);bygone days(2);past(2);history(2);forever ago(1);fossil ages(1);lost(1);extended time(1);distant(1);ancient knowledge(1);older history(1);past history(1);long time ago(1);ancient times(1);historical relic(1);outdated(1);forgotten(1);useless(1);irrelevant(1);old history(1);b.c(1);water under the bridge(1);recent news(1),,0,,UNKNOWN,UNKNOWN,UNKNOWN,0.42666,mid,past,,,past,past,past,past|old news|in the past|bygone days|history|forever ago|fossil ages|lost|extended time|distant|ancient knowledge|older history|past history|long time ago|ancient times|historical relic|outdated|forgotten|useless|irrelevant|old history|b.c|water under the bridge|recent news,1,train,generated
nc,eng,armchair critic,critic,armchair,,1.3333,,,armchair quarterback(3);hypocrite(2);backseat driver(2);critic(2);bystander(2);armchair expert(1);ineffective critic(1);inactive critic(1);lazy(1);judgemental(1);armchair academic(1);unqualified expert(1);peanut gallery(1);reviewer(1);armchair general(1);unprofessional critic(1);complainer(1);non participant watcher(1);non participating commenter(1);hypercritical(1);monday morning quarterback(1);back seat driver(1);sympathizer(1);keyboard critic(1);critic from a distance(1);non involved critic(1),,1,,UNKNOWN,UNKNOWN,UNKNOWN,0.26666,low,kibitzer|critic,,,kibitzer,critic,kibitzer,kibitzer|critic|armchair quarterback|hypocrite|backseat driver|bystander|armchair expert|ineffective critic|inactive critic|lazy|judgemental|armchair academic|unqualified expert|peanut gallery|reviewer|armchair general|unprofessional critic|complainer|non participant watcher|non participating commenter|hypercritical|monday morning quarterback|back seat driver|sympathizer|keyboard critic|critic from a distance|non involved critic,1,train,generated
nc,eng,baby buggy,buggy,baby,,4.1333,,,stroller(10);baby carriage(9);baby stroller(5);pram(5);child carriage(1);perambulator(1);baby carrier(1);cart(1),,2,,UNKNOWN,UNKNOWN,UNKNOWN,0.8266600000000001,high,baby carriage|carriage|perambulator|pram|stroller|go-cart|pushchair|pusher,baby carriage|carriage|perambulator|pram|stroller|go-cart|pushchair|pusher,baby carriage,stroller,pram,baby carriage,baby carriage|carriage|perambulator|pram|stroller|go-cart|pushchair|pusher|baby stroller|child carriage|baby carrier|cart,1,test,generated
nc,eng,bad hat,hat,bad,,0.4667,,,criminal(4);trouble maker(3);bad person(2);no good(2);bad guy(2);black hat(1);crook(1);mischievous person(1);bad egg(1);crasher(1);thug(1);not nice person(1);asshole(1);motherfucker(1);unscrupulous(1);bad man(1);unfavorable(1);bad form(1);con man(1);malcontent(1);jerk(1);vagabond(1);social pariah(1);bad news(1);mischief maker(1);hellion(1);bad apple(1);villian(1),,3,,UNKNOWN,UNKNOWN,UNKNOWN,0.09334,low,troublemaker|trouble maker|troubler|mischief-maker|scoundrel|villain,troublemaker|trouble maker|troubler|mischief-maker,troublemaker,scoundrel,villain,troublemaker,troublemaker|trouble maker|troubler|mischief-maker|scoundrel|villain|criminal|bad person|no good|bad guy|black hat|crook|mischievous person|bad egg|crasher|thug|not nice person|asshole|motherfucker|unscrupulous|bad man|unfavorable|bad form|con man|malcontent|jerk|vagabond|social pariah|bad news|mischief maker|hellion|bad apple|villian,1,test,generated
nc,eng,benign tumour,tumour,benign,,4.9286,,,benign growth(4);growth(3);non cancerous tumour(2);benign cancer(2);nonmalignant tumor(2);nonmetastatic tumour(1);noncancerous tumour(1);non cancerous tumor(1);harmless tumor(1);negative tumor(1);non fatal tumor(1);noninvading bump(1);non cancerous(1);lump(1);mass(1);cancer(1);cancerous growth(1);non malignant tumour(1);non carcihogenic tumor(1);non malignent tumor(1);benign lump(1);noncancerous tumor(1);benign tissue(1);benign neoplasm(1),,4,,UNKNOWN,UNKNOWN,UNKNOWN,0.98572,high,benign tumor|nonmalignant tumor|nonmalignant tumour|nonmalignant neoplasm|growth|noncancerous,benign tumor|nonmalignant tumor|nonmalignant tumour|nonmalignant neoplasm,benign tumor,growth,noncancerous,benign tumor,benign tumor|nonmalignant tumor|nonmalignant tumour|nonmalignant neoplasm|growth|noncancerous|benign growth|non cancerous tumour|benign cancer|nonmetastatic tumour|noncancerous tumour|non cancerous tumor|harmless tumor|negative tumor|non fatal tumor|noninvading bump|non cancerous|lump|mass|cancer|cancerous growth|non malignant tumour|non carcihogenic tumor|non malignent tumor|benign lump|noncancerous tumor|benign tissue|benign neoplasm,1,train,generated
nc,eng,big fish,fish,big,,0.5294,,,important person(4);big shot(3);top dog(3);big kahuna(2);head cheese(1);top gun(1);head honcho(1);big cheese(1);powerful person(1);professional(1);high paid person(1);in charge(1);loud person(1);visible(1);big deal(1);better things(1);more important things(1);bigger problems(1);big account(1);famous(1);person on renown(1);large figure(1);character(1);hot shot(1);boss(1);vip(1);whale(1);successful person(1);high ranking people(1);more important(1);more important person(1);big player(1),,5,,UNKNOWN,UNKNOWN,UNKNOWN,0.10588,low,big shot|big gun|big wheel|big cheese|big deal|big enchilada|head honcho|bigwig,big shot|big gun|big wheel|big cheese|big deal|big enchilada|head honcho,big shot,bigwig,bigwig,big shot,big shot|big gun|big wheel|big cheese|big deal|big enchilada|head honcho|bigwig|important person|top dog|big kahuna|head cheese|top gun|powerful person|professional|high paid person|in charge|loud person|visible|better things|more important things|bigger problems|big account|famous|person on renown|large figure|character|hot shot|boss|vip|whale|successful person|high ranking people|more important|more important person|big player,1,dev,generated
nc,eng,birth rate,rate,birth,,4.6667,,,fertility rate(3);number of births(3);population rate(3);population(2);growth rate(2);rate of reproduction(1);babies born(1);units of birth(1);live births(1);number born(1);number of newborns(1);people born compared to people living(1);rate of children born(1);amount of people being born(1);re population(1);birthing rate(1);birth level(1);replacement rate(1);births per 100000(1);births per year(1);speed of birth(1);population increase(1);population multiplication level(1);incidence of birth(1);rate of population change(1);reproduction rate(1);viable pregnancies(1);population rate growth(1);new birth numbers(1);birth(1);rate of birth(1);birth speed(1);births(1);population growth(1),,6,,UNKNOWN,UNKNOWN,UNKNOWN,0.93334,high,birthrate|fertility|fertility rate|natality,birthrate|fertility|fertility rate|natality,birthrate,natality,fertility,birthrate,birthrate|fertility|fertility rate|natality|number of births|population rate|population|growth rate|rate of reproduction|babies born|units of birth|live births|number born|number of newborns|people born compared to people living|rate of children born|amount of people being born|re population|birthing rate|birth level|replacement rate|births per 100000|births per year|speed of birth|population increase|population multiplication level|incidence of birth|rate of population change|reproduction rate|viable pregnancies|population rate growth|new birth numbers|birth|rate of birth|birth speed|births|population growth,1,train,generated
nc,eng,black cherry,cherry,black,,3.5714,,,cherry(6);dark cherry(5);wild cherry(4);fruit(3);type of cherry(1);berry(1);fruit flavored(1);pitted fruit(1);purple cherry(1);rum cherry(1);black fruit(1);royal chery(1);ripe cherry(1);dark red cherry(1);small red pitted fruit(1);cherry flavor(1);rich cherry(1);mountain cherry(1),,7,,UNKNOWN,UNKNOWN,UNKNOWN,0.71428,high,black cherry tree|rum cherry|Prunus serotina|sweet cherry|cherry,black cherry tree|rum cherry|Prunus serotina|sweet cherry,black cherry tree,cherry,cherry,black cherry tree,black cherry tree|rum cherry|Prunus serotina|sweet cherry|cherry|dark cherry|wild cherry|fruit|type of cherry|berry|fruit flavored|pitted fruit|purple cherry|black fruit|royal chery|ripe cherry|dark red cherry|small red pitted fruit|cherry flavor|rich cherry|mountain cherry,1,train,generated
nc,eng,bow tie,tie,bow,,4.7692,,,tie(5);necktie(3);black tie(3);cravat(2);bow of cloth(1);tied bow(1);tied scarf(1);neck tie(1);neck garment(1);clothing accessory(1);cravate(1);knotted tie(1);white tie(1);bow(1);knot with two loops(1);ribbon of fabric(1);short tie in a bow(1);tie that doesn't hang(1);knot(1);bow knot tie(1);pin wheel tie(1),,8,,UNKNOWN,UNKNOWN,UNKNOWN,0.95384,high,bow-tie|bowtie|necktie,bow-tie|bowtie,bow-tie,bowtie,necktie,bow-tie,bow-tie|bowtie|necktie|tie|black tie|cravat|bow of cloth|tied bow|tied scarf|neck tie|neck garment|clothing accessory|cravate|knotted tie|white tie|bow|knot with two loops|ribbon of fabric|short tie in a bow|tie that doesn't hang|knot|bow knot tie|pin wheel tie,1,train,generated
nc,eng,brain teaser,teaser,brain,,2.8125,,,puzzle(9);riddle(6);logic puzzle(2);challenge(2);logic teaser(1);brain twister(1);thought provoker(1);hard problem(1);difficult solution(1);brain drainer(1);mind boggleing(1);hard puzzle(1);cant figure out.(1);mind boggle(1);education challenge(1);tricky problem(1);hard game(1);mind game(1);mind boggler(1);brain game(1);mystery(1);brain execise(1);mind bender(1),,9,,UNKNOWN,UNKNOWN,UNKNOWN,0.5625,mid,puzzle,,,puzzle,puzzle,puzzle,puzzle|riddle|logic puzzle|challenge|logic teaser|brain twister|thought provoker|hard problem|difficult solution|brain drainer|mind boggleing|hard puzzle|cant figure out.|mind boggle|education challenge|tricky problem|hard game|mind game|mind boggler|brain game|mystery|brain execise|mind bender,1,test,generated
