uid,target,sentence,reason
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:879,push the envelope,3 ) Pushing the envelope .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:880,push the envelope,"You 're sweating and nervous and you know you 're out on a limb here , you 're in the process of taking some terrible risks and the luck , the flow that comes from being justified and in tune and not taking too much for granted , not being contemptuous or disrespectful of fate ; all that 's in danger here because you 're pushing the envelope , you 're maybe relying on one or two too many things going perfectly .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:882,meat and potatoes,"And design your dinner so that everyone can eat the same thing and enjoy it — with the recipes below , even the greediest red meat - and - potatoes man will feel he 's had his fill !",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:883,meat and potatoes,"For all his coinciding with the world of fashion , with the glamour and risks of the pederasty he helped publicise , Mapplethorpe 's pictures remain alien to the canons of American good taste and to meat - and - potato American ideas about art .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:885,walk the plank,"Both are completely geared to novices , with plenty of other distractions if walking the plank does n't suit .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:886,circle the wagons,Circling the wagons,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:888,all bets are off,"It might suggest that all bets were off on the release stakes or , ever hopeful , it might be that they were planning on letting us go and did n't want us to be able to give any hint , however vague , as to the whereabouts of the Yanks .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:889,knock someone's socks off,"It 's Lil , power - dressed to knock your socks off , with all eyes blazing .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:892,raise the roof,And raising the roof … the house where lightning struck twice .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:894,on the square,"Tucked away on a quiet , sunny square just 50 yards from the lagoon , this is a fresh , modern hotel adorned with many original paintings by the owner 's wife .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:898,wipe the slate clean,"In short , it was thought by many that the nature of the children 's hearing system would make it unnecessary to enact rules for ‘ wiping the slate clean’ .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:899,have someone's number,Because he had your number .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:902,six feet under,"You know as well as I do , they only stop talking about you when you 're six foot under.’",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:905,add fuel to the fire,"Phil Collins has become an essential focal point for the band , his success as a solo artist no doubt adding considerable fuel to the fire — and many more of the CD generation to the audience .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:906,strike while the iron is hot,"Maybe he would even mount a punitive expedition tonight , striking while the iron was hot , and all that .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:910,all over the map,The very term ' course ' implies a definite path of study ; the student is not going to go wandering all over the intellectual map .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:912,blaze a trail,"In 2012 rowers , canoeists and beach volleyball players , marksmen , mountain - bikers and triathletes would be blazing the trail for leisure - seeking citydwellers .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:913,blaze a trail,"YORKSHIRE cricket is blazing the international trail after always accepting only home - grown talent in the past Aussie paceman Craig McDermott ( above left ) was the first overseas star expected to join the county , but the move fell through and Tendulkar came over from India instead .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:914,twist someone's arm,You have n't got ta twist God 's arm to receive his gifts .,target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:915,twist someone's arm,"She will twist your poor rich senile arm to pay you out , because you have an airy house on the hill , and she goes home to a room in the damp and humid valley .",target_span_not_found
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:916,twist someone's arm,"""‘ I do n't want to feel I 've twisted your arm,’ said lawyer B to the visibly shattered client .""",target_span_not_found
