uid,dataset,source_file,source_row_id,lang,split_original,expression,expression_norm,sentence,target_span_text,context_type,w1,w2,modifier,head,has_head_mod,paraphrase_raw,paraphrases_json,canonical_paraphrase,paraphrase_count,has_paraphrase,label_raw,label_binary,label_contribution,compositionality_score,compositionality_bin,stratify_key,row_group_id,notes,split
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:0,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,0,EN,train,all hell broke loose,all hell broke loose,"The large man 's friends rose from their table and the waiters formed themselves into a solid phalanx , and all hell broke loose .",all hell broke loose,unknown,all,loose,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:all hell broke loose,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:2,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,2,EN,train,all hell broke loose,all hell broke loose,"Then it struck , and all hell broke loose .",all hell broke loose,unknown,all,loose,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:all hell broke loose,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:3,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,3,EN,train,off the hook,off the hook,But some bruised wives may feel that Vaughan is almost too ready to let men off the hook ; many would like to see their partner shed a little retributory blood .,off the hook,unknown,off,hook,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:off the hook,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:5,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,5,EN,train,off the hook,off the hook,"You messed up their surveillance , you beat up their agents , you went in for exactly the same unauthorised adventurism as they had — and so let them off the hook .",off the hook,unknown,off,hook,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:off the hook,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:6,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,6,EN,train,against the grain,against the grain,The Smiths run directly against the grain .,against the grain,unknown,against,grain,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:against the grain,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:7,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,7,EN,train,against the grain,against the grain,"It goes against the grain , does n't it ?",against the grain,unknown,against,grain,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:against the grain,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:8,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,8,EN,train,play with fire,play with fire,"Those who play with fire , however archly , must expect to get their fingers burnt once in a while , and when ironic lyrics are allied to questionable public utterances and clearly provocative imagery , then it is reasonable to question the man 's motives and intentions .",play with fire,unknown,play,fire,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:play with fire,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:9,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,9,EN,train,play with fire,play with fire,"The war took away the unfortunate necessity , as Unionists saw it , to play with fire in the national interest , but it did not materially alter their view of themselves .",play with fire,unknown,play,fire,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:play with fire,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:10,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,10,EN,train,play with fire,play with fire,"Ladies and gentlemen , please ask the people in your constituencies whether they want us to play with fire in this way .",play with fire,unknown,play,fire,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:play with fire,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:11,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,11,EN,train,make a killing,make a killing,"A great inducement of ‘ start - ups’ or ‘ green - field projects’ , where the original investors are in on the ground floor , is that they will make a killing if the company one day goes on to the Stock Exchange , or is gobbled up by a predator in a takeover bid .",make a killing,unknown,make,killing,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:make a killing,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:12,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,12,EN,train,make a killing,make a killing,"Once it has been led farther and farther away from the nest by the parent bird , it will have difficulty in rediscovering the position of the nest and will , in all probability , set off to search elsewhere if it fails to make a killing .",make a killing,unknown,make,killing,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:make a killing,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:15,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,15,EN,train,carry the can,carry the can,"Just her to carry the can , the prerogative of natural leaders of men .",carry the can,unknown,carry,can,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:carry the can,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:16,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,16,EN,train,carry the can,carry the can,"It not take him long to realize that if the police wanted someone to carry the can , then Dirk Coetzee was heading for death row .",carry the can,unknown,carry,can,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:carry the can,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:17,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,17,EN,train,in the doghouse,in the doghouse,"That 's you in the doghouse now , .",in the doghouse,unknown,in,doghouse,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:in the doghouse,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:18,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,18,EN,train,in the doghouse,in the doghouse,I was beginning to think I must be in the doghouse for some reason.’,in the doghouse,unknown,in,doghouse,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:in the doghouse,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:19,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,19,EN,train,in the doghouse,in the doghouse,I forgot completely and I 'm a little bit in the doghouse .,in the doghouse,unknown,in,doghouse,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:in the doghouse,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:22,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,22,EN,train,behind the scenes,behind the scenes,"The LDP 's rebellious faction no longer looks like splitting off : on June 2nd one of its members said secession would achieve nothing , and that the best way to bring about reform was to work behind the scenes .",behind the scenes,unknown,behind,scenes,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:behind the scenes,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:23,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,23,EN,train,go to the wall,go to the wall,"It had upset him at the time , but you had to get over stuff like that or you 'd go to the wall .",go to the wall,unknown,go,wall,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:go to the wall,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:24,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,24,EN,train,go to the wall,go to the wall,"After some initial encouraging noises from Jim Callaghan , the Labour Party turned this request down and the NILP was allowed to go to the wall in the near - war situation that the province had become by the early ' 70s .",go to the wall,unknown,go,wall,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:go to the wall,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:25,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,25,EN,train,go to the wall,go to the wall,"I do n't think I 'll go to the wall over eight , chairman .",go to the wall,unknown,go,wall,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:go to the wall,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:26,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,26,EN,train,see the light of day,see the light of day,"A version of Gladys Knight 's ' Take Me In Your Arms And Love Me ' , another ragga collaboration , this time featuring the vocal talents of Sweetie Irie , should see the light of day in the summer .",see the light of day,unknown,see,day,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:see the light of day,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:28,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,28,EN,train,under the weather,under the weather,"Although he was not as ill as he had made out to Elaine , he still felt a bit under the weather .",under the weather,unknown,under,weather,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:under the weather,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:29,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,29,EN,train,under the weather,under the weather,I began to feel under the weather on Thursday morning after leaving Haslemere .,under the weather,unknown,under,weather,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:under the weather,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:30,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,30,EN,train,under the weather,under the weather,‘ She just feels rather under the weather sometimes .,under the weather,unknown,under,weather,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:under the weather,w1_w2_inferred,train
dice:data/raw/dice/huggingface_mmi01_DICE/train.csv:31,dice,data/raw/dice/huggingface_mmi01_DICE/train.csv,31,EN,train,jump through hoops,jump through hoops,"Have I got to jump through hoops , ride bareback in spangles , before I 'm allowed to do my job?’",jump through hoops,unknown,jump,hoops,,,False,,[],,0,False,i,IDIOMATIC,IDIOMATIC,,UNKNOWN,dice::EN::IDIOMATIC::IDIOMATIC::UNKNOWN::False,dice:EN:jump through hoops,w1_w2_inferred,train
