uid,dataset,source_file,source_row_id,lang,split_original,expression,expression_norm,sentence,target_span_text,context_type,w1,w2,modifier,head,has_head_mod,paraphrase_raw,paraphrases_json,canonical_paraphrase,paraphrase_count,has_paraphrase,label_raw,label_binary,label_contribution,compositionality_score,compositionality_bin,stratify_key,row_group_id,notes,split
ncimp:data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv:0,ncimp,data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv,0,EN,,academy award,academy award,lardner shared an academy award for best original screenplay with michael kanin in 1942 for woman of the year,academy award,unknown,lardner shared an academy for best original screenplay with michael kanin in 1942 for woman of the year,academy award,lardner shared an academy for best original screenplay with michael kanin in 1942 for woman of the year,academy award,True,lardner shared an institute award for best original screenplay with michael kanin in 1942 for woman of the year,"[""lardner shared an institute award for best original screenplay with michael kanin in 1942 for woman of the year""]",lardner shared an institute award for best original screenplay with michael kanin in 1942 for woman of the year,1,True,,UNKNOWN,UNKNOWN,,UNKNOWN,ncimp::EN::UNKNOWN::UNKNOWN::UNKNOWN::True,ncimp:EN:academy award,,train
ncimp:data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv:2,ncimp,data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv,2,EN,,agony aunt,agony aunt,"feel as if this baby is more important than they are . "" counsellor and agony aunt suzie hayman , author of the relate guide to second families ( vermilion ) ,",agony aunt,unknown,"feel as if this baby is more important than they are . "" counsellor and agony suzie hayman , author of the relate guide to second families ( vermilion ) ,",agony aunt,"feel as if this baby is more important than they are . "" counsellor and agony suzie hayman , author of the relate guide to second families ( vermilion ) ,",agony aunt,True,"feel as if this baby is more important than they are . "" counsellor and anguish aunt suzie hayman , author of the relate guide to second families ( vermilion ) ,","[""feel as if this baby is more important than they are . \"" counsellor and anguish aunt suzie hayman"", ""author of the relate guide to second families ( vermilion )""]","feel as if this baby is more important than they are . "" counsellor and anguish aunt suzie hayman",2,True,,UNKNOWN,UNKNOWN,,UNKNOWN,ncimp::EN::UNKNOWN::UNKNOWN::UNKNOWN::True,ncimp:EN:agony aunt,,train
ncimp:data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv:3,ncimp,data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv,3,EN,,ancient history,ancient history,things that happened almost a year ago is ancient history .,ancient history,unknown,things that happened almost a year ago is ancient .,ancient history,things that happened almost a year ago is ancient .,ancient history,True,things that happened almost a year ago is past history .,"[""things that happened almost a year ago is past history .""]",things that happened almost a year ago is past history .,1,True,,UNKNOWN,UNKNOWN,,UNKNOWN,ncimp::EN::UNKNOWN::UNKNOWN::UNKNOWN::True,ncimp:EN:ancient history,,train
ncimp:data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv:4,ncimp,data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv,4,EN,,application form,application form,in a christian preaching ministry in any denomination for at least two years . the application form for the mth course is available on the spurgeon ' s or as a download (,application form,unknown,in a christian preaching ministry in any denomination for at least two years . the application for the mth course is available on the spurgeon ' s or as a download (,application form,in a christian preaching ministry in any denomination for at least two years . the application for the mth course is available on the spurgeon ' s or as a download (,application form,True,in a christian preaching ministry in any denomination for at least two years . the claim form for the mth course is available on the spurgeon ' s or as a download (,"[""in a christian preaching ministry in any denomination for at least two years . the claim form for the mth course is available on the spurgeon ' s or as a download (""]",in a christian preaching ministry in any denomination for at least two years . the claim form for the mth course is available on the spurgeon ' s or as a download (,1,True,,UNKNOWN,UNKNOWN,,UNKNOWN,ncimp::EN::UNKNOWN::UNKNOWN::UNKNOWN::True,ncimp:EN:application form,,train
ncimp:data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv:5,ncimp,data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv,5,EN,,arcade game,arcade game,the monkey in the game is king kong and it is another version of the classic arcade game donkey kong .,arcade game,unknown,the monkey in the game is king kong and it is another version of the classic arcade donkey kong .,arcade game,the monkey in the game is king kong and it is another version of the classic arcade donkey kong .,arcade game,True,the monkey in the game is king kong and it is another version of the classic gallery game donkey kong .,"[""the monkey in the game is king kong and it is another version of the classic gallery game donkey kong .""]",the monkey in the game is king kong and it is another version of the classic gallery game donkey kong .,1,True,,UNKNOWN,UNKNOWN,,UNKNOWN,ncimp::EN::UNKNOWN::UNKNOWN::UNKNOWN::True,ncimp:EN:arcade game,,train
ncimp:data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv:6,ncimp,data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv,6,EN,,armchair critic,armchair critic,she felt she could not just be an armchair critic - it was her moral responsibility to do something .,armchair critic,unknown,she felt she could not just be an armchair - it was her moral responsibility to do something .,armchair critic,she felt she could not just be an armchair - it was her moral responsibility to do something .,armchair critic,True,she felt she could not just be an recliner critic - it was her moral responsibility to do something .,"[""she felt she could not just be an recliner critic - it was her moral responsibility to do something .""]",she felt she could not just be an recliner critic - it was her moral responsibility to do something .,1,True,,UNKNOWN,UNKNOWN,,UNKNOWN,ncimp::EN::UNKNOWN::UNKNOWN::UNKNOWN::True,ncimp:EN:armchair critic,,train
ncimp:data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv:7,ncimp,data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv,7,EN,,baby blues,baby blues,"while as many as 80 % of mothers experience a temporary and mild condition referred to as the baby blues , up to 15 % of women have the more severe reaction you ' re experiencing .",baby blues,unknown,"while as many as 80 % of mothers experience a temporary and mild condition referred to as the baby , up to 15 % of women have the more severe reaction you ' re experiencing .",baby blues,"while as many as 80 % of mothers experience a temporary and mild condition referred to as the baby , up to 15 % of women have the more severe reaction you ' re experiencing .",baby blues,True,"while as many as 80 % of mothers experience a temporary and mild condition referred to as the child blues , up to 15 % of women have the more severe reaction you ' re experiencing .","[""while as many as 80 % of mothers experience a temporary and mild condition referred to as the child blues"", ""up to 15 % of women have the more severe reaction you ' re experiencing .""]",while as many as 80 % of mothers experience a temporary and mild condition referred to as the child blues,2,True,,UNKNOWN,UNKNOWN,,UNKNOWN,ncimp::EN::UNKNOWN::UNKNOWN::UNKNOWN::True,ncimp:EN:baby blues,,train
ncimp:data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv:9,ncimp,data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv,9,EN,,backroom boy,backroom boy,there are lots of technical and scientific staff whom you never see who are deeply involved in your disease : they often get forgotten as ' backroom boys and girls ',backroom boy,unknown,there are lots of technical and scientific staff whom you never see who are deeply involved in your disease : they often get forgotten as ' backroom and girls ',backroom boys,there are lots of technical and scientific staff whom you never see who are deeply involved in your disease : they often get forgotten as ' backroom and girls ',backroom boys,True,there are lots of technical and scientific staff whom you never see who are deeply involved in your disease : they often get forgotten as ' campaigning boys and girls ',"[""there are lots of technical and scientific staff whom you never see who are deeply involved in your disease : they often get forgotten as ' campaigning boys and girls '""]",there are lots of technical and scientific staff whom you never see who are deeply involved in your disease : they often get forgotten as ' campaigning boys and girls ',1,True,,UNKNOWN,UNKNOWN,,UNKNOWN,ncimp::EN::UNKNOWN::UNKNOWN::UNKNOWN::True,ncimp:EN:backroom boy,,train
ncimp:data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv:10,ncimp,data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv,10,EN,,bad apple,bad apple,"the problem for them , of course , is how to explain how these few bad apples managed to stay in place for so many years .",bad apple,unknown,"the problem for them , of course , is how to explain how these few bad managed to stay in place for so many years .",bad apples,"the problem for them , of course , is how to explain how these few bad managed to stay in place for so many years .",bad apples,True,"the problem for them , of course , is how to explain how these few awful apples managed to stay in place for so many years .","[""the problem for them"", ""of course"", ""is how to explain how these few awful apples managed to stay in place for so many years .""]",the problem for them,3,True,,UNKNOWN,UNKNOWN,,UNKNOWN,ncimp::EN::UNKNOWN::UNKNOWN::UNKNOWN::True,ncimp:EN:bad apple,,train
ncimp:data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv:11,ncimp,data/raw/ncimp/Finding-Idiomaticity-in-Word-Representations/dataset/EN/naturalistics_examplesent1.csv,11,EN,,bad hat,bad hat,one month later still another bad hat came along to further harass him,bad hat,unknown,one month later still another bad came along to further harass him,bad hat,one month later still another bad came along to further harass him,bad hat,True,one month later still another terrible hat came along to further harass him,"[""one month later still another terrible hat came along to further harass him""]",one month later still another terrible hat came along to further harass him,1,True,,UNKNOWN,UNKNOWN,,UNKNOWN,ncimp::EN::UNKNOWN::UNKNOWN::UNKNOWN::True,ncimp:EN:bad hat,,train
