expression_key,lang_key,expression,lang,paraphrase_candidates_maggie,wordnet_synonyms,wordnet_synonym1,paraphrase1_gpt55pro20260423,paraphrase1_gpt5nano20250807
abalo sísmico,pt,abalo sísmico,pt,sismo|terremoto,,,sismo,terremoto
academy award,eng,academy award,eng,Oscar,Oscar,Oscar,Oscar,Oscar
acampamento militar,pt,acampamento militar,pt,bivaque|base,,,bivaque,base
acid test,eng,acid test,eng,touchstone|crucible,,,touchstone,crucible
across the board,eng,across the board,eng,universally|universal,,,universally,universal
activité physique,fr,activité physique,fr,exercice,,,exercice,exercice
add fuel to the fire,eng,add fuel to the fire,eng,exacerbate,,,exacerbate,exacerbate
against the grain,eng,against the grain,eng,contrary|unconventional,,,contrary,unconventional
agente secreto,pt,agente secreto,pt,espião,,,espião,espião
agony aunt,eng,agony aunt,eng,adviser,,,adviser,adviser
aire libre,gl,aire libre,gl,intemperie|exterior,,,intemperie,exterior
alarme falso,pt,alarme falso,pt,engano,,,engano,engano
algodão doce,pt,algodão doce,pt,algodão-doce|guloseima|doce,algodão-doce,algodão-doce,guloseima,doce
algodão-doce,pt,algodão-doce,pt,Algodão Doce|guloseima,Algodão Doce,Algodão Doce,guloseima,guloseima
all bets are off,eng,all bets are off,eng,unpredictable,,,unpredictable,unpredictable
all hell broke loose,eng,all hell broke loose,eng,pandemonium|chaos,,,pandemonium,chaos
all over the map,eng,all over the map,eng,scattered|varied,,,scattered,varied
all over the place,eng,all over the place,eng,scattered|disorganized,,,scattered,disorganized
alta temporada,pt,alta temporada,pt,pico,,,pico,pico
alta-costura,pt,alta-costura,pt,Alta costura|moda|luxo,Alta costura,Alta costura,moda,luxo
alto costura,pt,alto costura,pt,moda|luxo,,,moda,luxo
alto falante,pt,alto falante,pt,altifalante|altofalante,,,altifalante,altofalante
alto mar,pt,alto mar,pt,alto-mar|mar alto|pélago|oceano,alto-mar|mar alto,alto-mar,pélago,oceano
alto temporada,pt,alto temporada,pt,pico|auge,,,pico,auge
alto-falante,pt,alto-falante,pt,Altifalante|falante|locutor|palestrante|parlante,Altifalante|falante|locutor|palestrante,Altifalante,altifalante,parlante
amigo oculto,pt,amigo oculto,pt,sorteio,,,sorteio,sorteio
amigo secreto,pt,amigo secreto,pt,brincadeira|amigooculto,,,brincadeira,amigooculto
amor próprio,pt,amor próprio,pt,autoestima,,,autoestima,autoestima
amor-próprio,pt,amor-próprio,pt,autoestima,,,autoestima,autoestima
ancient history,eng,ancient history,eng,past,,,past,past
année scolaire,fr,année scolaire,fr,scolarité|année,,,scolarité,année
ano novo,pt,ano novo,pt,réveillon|recomeço,,,réveillon,recomeço
ano-novo,pt,ano-novo,pt,réveillon|renovação,,,réveillon,renovação
apples and oranges,eng,apples and oranges,eng,incomparable,,,incomparable,incomparable
application form,eng,application form,eng,application|form,,,application,form
ar condicionado,pt,ar condicionado,pt,ar-condicionado|condicionador de ar|condicionamento de ar|climatização,ar-condicionado|condicionador de ar|condicionamento de ar,ar-condicionado,climatização,climatização
ar livre,pt,ar livre,pt,exterior,,,exterior,exterior
arcade game,eng,arcade game,eng,videogame,,,videogame,videogame
arma branca,pt,arma branca,pt,lâmina|faca,,,lâmina,faca
arma branco,pt,arma branco,pt,faca,,,faca,faca
armchair critic,eng,armchair critic,eng,kibitzer|critic,,,kibitzer,critic
art contemporain,fr,art contemporain,fr,modernisme|moderne,,,modernisme,moderne
at a canter,eng,at a canter,eng,easily|swiftly,,,easily,swiftly
at sixes and sevens,eng,at sixes and sevens,eng,confused|confusion,,,confused,confusion
at the end of the day,eng,at the end of the day,eng,ultimately,,,ultimately,ultimately
ataque cardíaco,gl,ataque cardíaco,gl,infarto,,,infarto,infarto
ato falho,pt,ato falho,pt,Acto falho|lapso|falha,Acto falho,Acto falho,lapso,falha
auditoría externa,gl,auditoría externa,gl,fiscalización|auditoría,,,fiscalización,auditoría
aviso amarelo,gl,aviso amarelo,gl,alerta,,,alerta,alerta
baby blues,eng,baby blues,eng,depression|sadness,,,depression,sadness
baby buggy,eng,baby buggy,eng,baby carriage|carriage|perambulator|pram|stroller|go-cart|pushchair|pusher,baby carriage|carriage|perambulator|pram|stroller|go-cart|pushchair|pusher,baby carriage,stroller,pram
backroom boy,eng,backroom boy,eng,brain truster|boffin|assistant,brain truster,brain truster,boffin,assistant
bad apple,eng,bad apple,eng,troublemaker,,,troublemaker,troublemaker
bad hat,eng,bad hat,eng,troublemaker|trouble maker|troubler|mischief-maker|scoundrel|villain,troublemaker|trouble maker|troubler|mischief-maker,troublemaker,scoundrel,villain
baie vitré,fr,baie vitré,fr,fenêtre,,,fenêtre,fenêtre
balance sheet,eng,balance sheet,eng,statement|finances,,,statement,finances
banana republic,eng,banana republic,eng,kleptocracy,,,kleptocracy,kleptocracy
banda ancha,gl,banda ancha,gl,internet,,,internet,internet
banda sonora,gl,banda sonora,gl,música,,,música,música
bandeiras negras,gl,bandeiras negras,gl,contaminación|anarquía,,,contaminación,anarquía
banho turco,pt,banho turco,pt,sauna|spa,,,sauna,spa
bank account,eng,bank account,eng,account|funds,,,account,funds
bankruptcy proceeding,eng,bankruptcy proceeding,eng,bankruptcy|insolvency,,,bankruptcy,insolvency
bas côté,fr,bas côté,fr,accotement,,,accotement,accotement
basket case,eng,basket case,eng,wreck,,,wreck,wreck
batata doce,pt,batata doce,pt,batata-doce|boniato|tubérculo,batata-doce,batata-doce,boniato,tubérculo
batata-doce,pt,batata-doce,pt,inhame|Batata doce|batata-da-terra|batatadoce|boniato|tubérculo,inhame|Batata doce|batata-da-terra|batatadoce,inhame,boniato,tubérculo
batten down the hatches,eng,batten down the hatches,eng,prepare,,,prepare,prepare
beau frère,fr,beau frère,fr,beauf|frère,,,beauf,frère
beau mère,fr,beau mère,fr,marâtre|bellemère,,,marâtre,bellemère
beau père,fr,beau père,fr,parâtre|père,,,parâtre,père
beauty sleep,eng,beauty sleep,eng,sleep|rejuvenation,,,sleep,rejuvenation
bebida alcoólica,pt,bebida alcoólica,pt,Bebidas alcoólicas|álcoois|álcool|espíritos,Bebidas alcoólicas|álcoois|álcool|espíritos,Bebidas alcoólicas,álcool,álcool
bebida alcoólico,pt,bebida alcoólico,pt,álcool,,,álcool,álcool
behind closed doors,eng,behind closed doors,eng,privately,,,privately,privately
behind someone's back,eng,behind someone's back,eng,secretly,,,secretly,secretly
behind the scenes,eng,behind the scenes,eng,privately|secretly,,,privately,secretly
bells and whistles,eng,bells and whistles,eng,frills,,,frills,frills
below the belt,eng,below the belt,eng,unfairly|unfair,unfairly,unfairly,unfair,unfair
benign tumour,eng,benign tumour,eng,benign tumor|nonmalignant tumor|nonmalignant tumour|nonmalignant neoplasm|growth|noncancerous,benign tumor|nonmalignant tumor|nonmalignant tumour|nonmalignant neoplasm,benign tumor,growth,noncancerous
berger allemand,fr,berger allemand,fr,alsacien|chien,,,alsacien,chien
best man,eng,best man,eng,groomsman,,,groomsman,groomsman
between a rock and a hard place,eng,between a rock and a hard place,eng,dilemma,,,dilemma,dilemma
big cheese,eng,big cheese,eng,big shot|big gun|big wheel|big deal|big enchilada|big fish|head honcho|boss|bigwig,big shot|big gun|big wheel|big deal|big enchilada|big fish|head honcho,big shot,boss,bigwig
big fish,eng,big fish,eng,big shot|big gun|big wheel|big cheese|big deal|big enchilada|head honcho|bigwig,big shot|big gun|big wheel|big cheese|big deal|big enchilada|head honcho,big shot,bigwig,bigwig
big picture,eng,big picture,eng,overview,,,overview,overview
big wig,eng,big wig,eng,VIP|powerbroker,,,VIP,powerbroker
biological clock,eng,biological clock,eng,biorhythm|aging,,,biorhythm,aging
birth rate,eng,birth rate,eng,birthrate|fertility|fertility rate|natality,birthrate|fertility|fertility rate|natality,birthrate,natality,fertility
black and blue,eng,black and blue,eng,bruised,,,bruised,bruised
black box,eng,black box,eng,mystery|enigma,,,mystery,enigma
black cherry,eng,black cherry,eng,black cherry tree|rum cherry|Prunus serotina|sweet cherry|cherry,black cherry tree|rum cherry|Prunus serotina|sweet cherry,black cherry tree,cherry,cherry
