text_id,text,lang,text_type
t00000000,ancient history,eng,expression
t00000001,history,eng,head
t00000002,ancient,eng,modifier
t00000003,past,eng,paraphrase
t00000004,old news,eng,paraphrase
t00000005,in the past,eng,paraphrase
t00000006,bygone days,eng,paraphrase
t00000007,history,eng,paraphrase
t00000008,forever ago,eng,paraphrase
t00000009,fossil ages,eng,paraphrase
t00000010,lost,eng,paraphrase
t00000011,extended time,eng,paraphrase
t00000012,distant,eng,paraphrase
t00000013,ancient knowledge,eng,paraphrase
t00000014,older history,eng,paraphrase
t00000015,past history,eng,paraphrase
t00000016,long time ago,eng,paraphrase
t00000017,ancient times,eng,paraphrase
t00000018,historical relic,eng,paraphrase
t00000019,outdated,eng,paraphrase
t00000020,forgotten,eng,paraphrase
t00000021,useless,eng,paraphrase
t00000022,irrelevant,eng,paraphrase
t00000023,old history,eng,paraphrase
t00000024,b.c,eng,paraphrase
t00000025,water under the bridge,eng,paraphrase
t00000026,recent news,eng,paraphrase
t00000027,armchair critic,eng,expression
t00000028,critic,eng,head
t00000029,armchair,eng,modifier
t00000030,kibitzer,eng,paraphrase
t00000031,critic,eng,paraphrase
t00000032,armchair quarterback,eng,paraphrase
t00000033,hypocrite,eng,paraphrase
t00000034,backseat driver,eng,paraphrase
t00000035,bystander,eng,paraphrase
t00000036,armchair expert,eng,paraphrase
t00000037,ineffective critic,eng,paraphrase
t00000038,inactive critic,eng,paraphrase
t00000039,lazy,eng,paraphrase
t00000040,judgemental,eng,paraphrase
t00000041,armchair academic,eng,paraphrase
t00000042,unqualified expert,eng,paraphrase
t00000043,peanut gallery,eng,paraphrase
t00000044,reviewer,eng,paraphrase
t00000045,armchair general,eng,paraphrase
t00000046,unprofessional critic,eng,paraphrase
t00000047,complainer,eng,paraphrase
t00000048,non participant watcher,eng,paraphrase
t00000049,non participating commenter,eng,paraphrase
t00000050,hypercritical,eng,paraphrase
t00000051,monday morning quarterback,eng,paraphrase
t00000052,back seat driver,eng,paraphrase
t00000053,sympathizer,eng,paraphrase
t00000054,keyboard critic,eng,paraphrase
t00000055,critic from a distance,eng,paraphrase
t00000056,non involved critic,eng,paraphrase
t00000057,baby buggy,eng,expression
t00000058,buggy,eng,head
t00000059,baby,eng,modifier
t00000060,baby carriage,eng,paraphrase
t00000061,carriage,eng,paraphrase
t00000062,perambulator,eng,paraphrase
t00000063,pram,eng,paraphrase
t00000064,stroller,eng,paraphrase
t00000065,go-cart,eng,paraphrase
t00000066,pushchair,eng,paraphrase
t00000067,pusher,eng,paraphrase
t00000068,baby stroller,eng,paraphrase
t00000069,child carriage,eng,paraphrase
t00000070,baby carrier,eng,paraphrase
t00000071,cart,eng,paraphrase
t00000072,bad hat,eng,expression
t00000073,hat,eng,head
t00000074,bad,eng,modifier
t00000075,troublemaker,eng,paraphrase
t00000076,trouble maker,eng,paraphrase
t00000077,troubler,eng,paraphrase
t00000078,mischief-maker,eng,paraphrase
t00000079,scoundrel,eng,paraphrase
t00000080,villain,eng,paraphrase
t00000081,criminal,eng,paraphrase
t00000082,bad person,eng,paraphrase
t00000083,no good,eng,paraphrase
t00000084,bad guy,eng,paraphrase
t00000085,black hat,eng,paraphrase
t00000086,crook,eng,paraphrase
t00000087,mischievous person,eng,paraphrase
t00000088,bad egg,eng,paraphrase
t00000089,crasher,eng,paraphrase
t00000090,thug,eng,paraphrase
t00000091,not nice person,eng,paraphrase
t00000092,asshole,eng,paraphrase
t00000093,motherfucker,eng,paraphrase
t00000094,unscrupulous,eng,paraphrase
t00000095,bad man,eng,paraphrase
t00000096,unfavorable,eng,paraphrase
t00000097,bad form,eng,paraphrase
t00000098,con man,eng,paraphrase
t00000099,malcontent,eng,paraphrase
t00000100,jerk,eng,paraphrase
t00000101,vagabond,eng,paraphrase
t00000102,social pariah,eng,paraphrase
t00000103,bad news,eng,paraphrase
t00000104,mischief maker,eng,paraphrase
t00000105,hellion,eng,paraphrase
t00000106,bad apple,eng,paraphrase
t00000107,villian,eng,paraphrase
t00000108,benign tumour,eng,expression
t00000109,tumour,eng,head
t00000110,benign,eng,modifier
t00000111,benign tumor,eng,paraphrase
t00000112,nonmalignant tumor,eng,paraphrase
t00000113,nonmalignant tumour,eng,paraphrase
t00000114,nonmalignant neoplasm,eng,paraphrase
t00000115,growth,eng,paraphrase
t00000116,noncancerous,eng,paraphrase
t00000117,benign growth,eng,paraphrase
t00000118,non cancerous tumour,eng,paraphrase
t00000119,benign cancer,eng,paraphrase
t00000120,nonmetastatic tumour,eng,paraphrase
t00000121,noncancerous tumour,eng,paraphrase
t00000122,non cancerous tumor,eng,paraphrase
t00000123,harmless tumor,eng,paraphrase
t00000124,negative tumor,eng,paraphrase
t00000125,non fatal tumor,eng,paraphrase
t00000126,noninvading bump,eng,paraphrase
t00000127,non cancerous,eng,paraphrase
t00000128,lump,eng,paraphrase
t00000129,mass,eng,paraphrase
t00000130,cancer,eng,paraphrase
t00000131,cancerous growth,eng,paraphrase
t00000132,non malignant tumour,eng,paraphrase
t00000133,non carcihogenic tumor,eng,paraphrase
t00000134,non malignent tumor,eng,paraphrase
t00000135,benign lump,eng,paraphrase
t00000136,noncancerous tumor,eng,paraphrase
t00000137,benign tissue,eng,paraphrase
t00000138,benign neoplasm,eng,paraphrase
t00000139,big fish,eng,expression
t00000140,fish,eng,head
t00000141,big,eng,modifier
t00000142,big shot,eng,paraphrase
t00000143,big gun,eng,paraphrase
t00000144,big wheel,eng,paraphrase
t00000145,big cheese,eng,paraphrase
t00000146,big deal,eng,paraphrase
t00000147,big enchilada,eng,paraphrase
t00000148,head honcho,eng,paraphrase
t00000149,bigwig,eng,paraphrase
t00000150,important person,eng,paraphrase
t00000151,top dog,eng,paraphrase
t00000152,big kahuna,eng,paraphrase
t00000153,head cheese,eng,paraphrase
t00000154,top gun,eng,paraphrase
t00000155,powerful person,eng,paraphrase
t00000156,professional,eng,paraphrase
t00000157,high paid person,eng,paraphrase
t00000158,in charge,eng,paraphrase
t00000159,loud person,eng,paraphrase
t00000160,visible,eng,paraphrase
t00000161,better things,eng,paraphrase
