uid,dataset,source_file,source_row_id,lang,split_original,expression,expression_norm,sentence,target_span_text,context_type,w1,w2,modifier,head,has_head_mod,paraphrase_raw,paraphrases_json,canonical_paraphrase,paraphrase_count,has_paraphrase,label_raw,label_binary,label_contribution,compositionality_score,compositionality_bin,stratify_key,row_group_id,notes,split
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:1,nc,data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv,1,EN,,Freudian_slip,freudian slip,Well it wasn't a mistake or a Freudian slip of the finger...y'see the Senators site is also supposedly using unlicenced software!,Freudian_slip,unknown,Freudian,slip,Freudian,slip,True,slip of the tongue(4);mistake(4);error(2);verbal mistake(2);misstep(2);accident(2);slip of tongue(2);slip up(2);misspeak(1);tell(1);lapsus linguae(1);misspoke(1);accidental speaking(1);speaking slip(1);faulty action(1);lies(1);denial(1);misquote(1);accidental saying(1);unintentional(1);unintentional saying(1);saying what's really on the mind(1);verbal misstep(1);hidden intention(1);hidden feelings(1);subconscious feelings(1);slip o the tongue(1);meaningful error(1);accidentally saying what you mean(1);accidental admission(1);revealing your true thoughts(1);misspeaking(1);faux pas(1);subconscious confession(1);accidental admisison(1);mistake made while speaking(1);subconcious comment(1);error when talking(1),"[""slip of the tongue"", ""mistake"", ""error"", ""verbal mistake"", ""misstep"", ""accident"", ""slip of tongue"", ""slip up"", ""misspeak"", ""tell"", ""lapsus linguae"", ""misspoke"", ""accidental speaking"", ""speaking slip"", ""faulty action"", ""lies"", ""denial"", ""misquote"", ""accidental saying"", ""unintentional"", ""unintentional saying"", ""saying what's really on the mind"", ""verbal misstep"", ""hidden intention"", ""hidden feelings"", ""subconscious feelings"", ""slip o the tongue"", ""meaningful error"", ""accidentally saying what you mean"", ""accidental admission"", ""revealing your true thoughts"", ""misspeaking"", ""faux pas"", ""subconscious confession"", ""accidental admisison"", ""mistake made while speaking"", ""subconcious comment"", ""error when talking""]",slip of the tongue,38,True,,UNKNOWN,EQUAL,2.35,MID,nc::EN::UNKNOWN::EQUAL::MID::True,nc:EN:freudian slip,label_binary_derived_from_compositionality_bin,train
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:3,nc,data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv,3,EN,,arcade_game,arcade game,The monkey in the game is King Kong and it is another version of the classic arcade game Donkey Kong.,arcade_game,unknown,arcade,game,arcade,game,True,video game(14);electronic game(6);arcade machine(2);computer game(2);pinball machine(2);contest(1);toy(1);cabinet(1);gaming experience(1);console(1);game machine(1);game box(1);digital game(1);arcade attraction(1);arcade cabinet(1);game found in a room of other games(1);video game found in older generations(1);video games in larger standing consoles(1);retro game(1);vintage video game(1);video game store(1);game in arcade(1);machine game(1);coin op vame(1);game you can play in an arcade(1);game that originated in arcades(1);old video games(1);video game machines(1);1980s video games(1);fun zone(1);circus games(1);arcades(1);video(1);play(1),"[""video game"", ""electronic game"", ""arcade machine"", ""computer game"", ""pinball machine"", ""contest"", ""toy"", ""cabinet"", ""gaming experience"", ""console"", ""game machine"", ""game box"", ""digital game"", ""arcade attraction"", ""arcade cabinet"", ""game found in a room of other games"", ""video game found in older generations"", ""video games in larger standing consoles"", ""retro game"", ""vintage video game"", ""video game store"", ""game in arcade"", ""machine game"", ""coin op vame"", ""game you can play in an arcade"", ""game that originated in arcades"", ""old video games"", ""video game machines"", ""1980s video games"", ""fun zone"", ""circus games"", ""arcades"", ""video"", ""play""]",video game,34,True,,LITERAL,HEAD,4.1364,HIGH,nc::EN::LITERAL::HEAD::HIGH::True,nc:EN:arcade game,label_binary_derived_from_compositionality_bin,train
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:4,nc,data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv,4,EN,,baby_blues,baby blues,"While as many as 80 % of mothers experience a temporary and mild condition referred to as the baby blues, up to 15 % of women have the more severe reaction you're experiencing.",baby_blues,unknown,baby,blues,baby,blues,True,depression(9);postpartum depression(5);sadness(4);post partum depression(3);low spirits(3);melancholy(3);postpartum(1);low(1);blues(1);gloominess(1);mental illness(1);bright blue(1);light blue(1);depressing(1);baby depression(1);emotional birth(1);pregnancy sadness(1);post natal depression(1);post natal blues(1);downheartedness(1);post pardom depression(1);post pardum depression(1);maternal depression(1);maternal sadness(1);meloncholy(1);sadness after birth(1);postnatal depression(1);dumps(1);post partum deression(1);sadness post childbirth(1);hormonal dip(1);weeks of weepiness(1);gloomy(1);overwhelmed(1),"[""depression"", ""postpartum depression"", ""sadness"", ""post partum depression"", ""low spirits"", ""melancholy"", ""postpartum"", ""low"", ""blues"", ""gloominess"", ""mental illness"", ""bright blue"", ""light blue"", ""depressing"", ""baby depression"", ""emotional birth"", ""pregnancy sadness"", ""post natal depression"", ""post natal blues"", ""downheartedness"", ""post pardom depression"", ""post pardum depression"", ""maternal depression"", ""maternal sadness"", ""meloncholy"", ""sadness after birth"", ""postnatal depression"", ""dumps"", ""post partum deression"", ""sadness post childbirth"", ""hormonal dip"", ""weeks of weepiness"", ""gloomy"", ""overwhelmed""]",depression,34,True,,UNKNOWN,MOD,3.0455,MID,nc::EN::UNKNOWN::MOD::MID::True,nc:EN:baby blues,label_binary_derived_from_compositionality_bin,train
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:5,nc,data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv,5,EN,,backroom_boy,backroom boy,There are lots of technical and scientific staff whom you never see who are deeply involved in your disease: they often get forgotten as ' backroom boys and girls ',backroom_boy,unknown,backroom,boy,backroom,boy,True,assistant(4);helper(3);behind the scenes(3);aide(2);worker(2);roadie(1);organizer(1);event specialist(1);brain trust(1);outcast(1);works behind scenes(1);background assistant(1);support staff(1);unnamed helper(1);unrecognized helpers(1);hidden helpers(1);brain truster(1);does important work in an organization(1);behind the scenes.(1);work or job supporter(1);planner(1);behind the scenes person(1);technician(1);secret researcher(1);braintrust(1);out of sight(1);workman(1);backstage(1);in the background(1);background workers(1);backstage boys(1);unknown contributor(1);secret contributor(1);running crew(1);behind the camera(1);unsung hero(1);facilitator(1);backstage help(1);backstage worker(1);wallflower(1);employee(1);secondary player(1),"[""assistant"", ""helper"", ""behind the scenes"", ""aide"", ""worker"", ""roadie"", ""organizer"", ""event specialist"", ""brain trust"", ""outcast"", ""works behind scenes"", ""background assistant"", ""support staff"", ""unnamed helper"", ""unrecognized helpers"", ""hidden helpers"", ""brain truster"", ""does important work in an organization"", ""behind the scenes."", ""work or job supporter"", ""planner"", ""behind the scenes person"", ""technician"", ""secret researcher"", ""braintrust"", ""out of sight"", ""workman"", ""backstage"", ""in the background"", ""background workers"", ""backstage boys"", ""unknown contributor"", ""secret contributor"", ""running crew"", ""behind the camera"", ""unsung hero"", ""facilitator"", ""backstage help"", ""backstage worker"", ""wallflower"", ""employee"", ""secondary player""]",assistant,42,True,,UNKNOWN,MOD,1.5,MID,nc::EN::UNKNOWN::MOD::MID::True,nc:EN:backroom boy,label_binary_derived_from_compositionality_bin,train
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:7,nc,data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv,7,EN,,banana_republic,banana republic,"The result is our roads are more congested than ever before; so congested, indeed, that we seem less like the world's fourth-largest economy and more like the most inept banana republic.",banana_republic,unknown,banana,republic,banana,republic,True,dictatorship(2);weak economy(2);poor government(2);unstable country(2);third world country(2);government(1);dishonest government(1);small country(1);politically unstable(1);inept(1);unsuccessful(1);unproductive(1);autocracy(1);limited resource contry(1);government without dignity(1);dependent on one crop(1);poor countries(1);third world(1);poorly run state(1);rundown economy(1);land(1);country(1);tropical republic(1);tropical country(1);tropical nation(1);one product dependent economy(1);one trick pony(1);clothing store(1);high end boutique(1);chaotic government(1);provincial locale(1);distant colonial government(1);economically undiversified nation(1);failed state(1);bad government(1);poor leadership(1);developing country(1);poor country(1),"[""dictatorship"", ""weak economy"", ""poor government"", ""unstable country"", ""third world country"", ""government"", ""dishonest government"", ""small country"", ""politically unstable"", ""inept"", ""unsuccessful"", ""unproductive"", ""autocracy"", ""limited resource contry"", ""government without dignity"", ""dependent on one crop"", ""poor countries"", ""third world"", ""poorly run state"", ""rundown economy"", ""land"", ""country"", ""tropical republic"", ""tropical country"", ""tropical nation"", ""one product dependent economy"", ""one trick pony"", ""clothing store"", ""high end boutique"", ""chaotic government"", ""provincial locale"", ""distant colonial government"", ""economically undiversified nation"", ""failed state"", ""bad government"", ""poor leadership"", ""developing country"", ""poor country""]",dictatorship,38,True,,IDIOMATIC,HEAD,0.6842,LOW,nc::EN::IDIOMATIC::HEAD::LOW::True,nc:EN:banana republic,label_binary_derived_from_compositionality_bin,train
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:8,nc,data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv,8,EN,,bankruptcy_proceeding,bankruptcy proceeding,The official receivers costs take priority over sums due to a trustee in the bankruptcy proceedings.,bankruptcy_proceeding,unknown,bankruptcy,proceeding,bankruptcy,proceeding,True,bankruptcy hearing(6);trial(2);court case(2);bankruptcy trial(2);bankruptcy court(2);court(2);hearing(1);monetary refinancing(1);petition of debt(1);insolvency case(1);bankruptcy deliberation(1);trial after bankruptcy(1);leading up to bankruptcy(1);meeting before bankruptcy(1);money review(1);financial summary(1);financial ruin proceedings(1);insolvent litigation(1);debt process(1);insolvency proceeding(1);financial hearing(1);going broke(1);insolvent(1);financially diluted(1);bankruptcy lawsuit(1);filing bankruptcy(1);declaring bankruptcy(1);bankruptcy court case(1);bankruptcy trail(1);money trial(1);cheap court(1);chapter 11(1);asset dissolution(1);assets not payable(1);collapse(1);out of bussiness(1);resolving debits(1),"[""bankruptcy hearing"", ""trial"", ""court case"", ""bankruptcy trial"", ""bankruptcy court"", ""court"", ""hearing"", ""monetary refinancing"", ""petition of debt"", ""insolvency case"", ""bankruptcy deliberation"", ""trial after bankruptcy"", ""leading up to bankruptcy"", ""meeting before bankruptcy"", ""money review"", ""financial summary"", ""financial ruin proceedings"", ""insolvent litigation"", ""debt process"", ""insolvency proceeding"", ""financial hearing"", ""going broke"", ""insolvent"", ""financially diluted"", ""bankruptcy lawsuit"", ""filing bankruptcy"", ""declaring bankruptcy"", ""bankruptcy court case"", ""bankruptcy trail"", ""money trial"", ""cheap court"", ""chapter 11"", ""asset dissolution"", ""assets not payable"", ""collapse"", ""out of bussiness"", ""resolving debits""]",bankruptcy hearing,37,True,,LITERAL,MOD,4.8095,HIGH,nc::EN::LITERAL::MOD::HIGH::True,nc:EN:bankruptcy proceeding,label_binary_derived_from_compositionality_bin,train
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:12,nc,data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv,12,EN,,big_cheese,big cheese,We talk to the (normally reclusive) big cheese about his journey from stall owner to taking on the big guns at HMV.,big_cheese,unknown,big,cheese,big,cheese,True,boss(10);leader(6);important person(6);head honcho(4);vip(4);top dog(3);chief(3);big wig(3);big enchilada(2);big shot(2);honcho(1);big deal(1);head(1);big boss(1);execustives(1);high level(1);high ranking one(1);supervisor(1);executive(1);high up(1);person in charge(1);manager(1);famous(1);important member(1);elite(1);important(1);mogul(1);public figure(1);chiefs(1);top dogs(1),"[""boss"", ""leader"", ""important person"", ""head honcho"", ""vip"", ""top dog"", ""chief"", ""big wig"", ""big enchilada"", ""big shot"", ""honcho"", ""big deal"", ""head"", ""big boss"", ""execustives"", ""high level"", ""high ranking one"", ""supervisor"", ""executive"", ""high up"", ""person in charge"", ""manager"", ""famous"", ""important member"", ""elite"", ""important"", ""mogul"", ""public figure"", ""chiefs"", ""top dogs""]",boss,30,True,,IDIOMATIC,MOD,0.125,LOW,nc::EN::IDIOMATIC::MOD::LOW::True,nc:EN:big cheese,label_binary_derived_from_compositionality_bin,train
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:13,nc,data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv,13,EN,,big_picture,big picture,"Whilst we're relieved that this is the outcome of the Chancellor's deliberations over UK Sports' proposals, the Government also has to look at the bigger picture.",big_picture,unknown,big,picture,big,picture,True,broad view(5);master plan(5);overall view(4);essence(3);overview(2);main idea(2);whole(1);everything(1);scheme(1);plan of action(1);whole subject(1);greater idea(1);holistic view(1);greater picture(1);idea(1);whole situation(1);entire idea(1);grand scheme(1);overall meaning(1);important stuff(1);connection between things(1);vision(1);larger consequences(1);goal or end result(1);whole thing(1);main jdea(1);whole image(1);broad scope(1);larger perspective(1);big idea(1);central idea(1);surrounding information(1);wider perspective(1);plan(1);scenario(1);work(1);main objective(1);grand prize(1),"[""broad view"", ""master plan"", ""overall view"", ""essence"", ""overview"", ""main idea"", ""whole"", ""everything"", ""scheme"", ""plan of action"", ""whole subject"", ""greater idea"", ""holistic view"", ""greater picture"", ""idea"", ""whole situation"", ""entire idea"", ""grand scheme"", ""overall meaning"", ""important stuff"", ""connection between things"", ""vision"", ""larger consequences"", ""goal or end result"", ""whole thing"", ""main jdea"", ""whole image"", ""broad scope"", ""larger perspective"", ""big idea"", ""central idea"", ""surrounding information"", ""wider perspective"", ""plan"", ""scenario"", ""work"", ""main objective"", ""grand prize""]",broad view,38,True,,UNKNOWN,MOD,1.35,MID,nc::EN::UNKNOWN::MOD::MID::True,nc:EN:big picture,label_binary_derived_from_compositionality_bin,train
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:14,nc,data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv,14,EN,,big_wig,big wig,"To secure promotion you have to impress your employers, the suits on high, the big wigs, and the fat cats.",big_wig,unknown,big,wig,big,wig,True,important person(7);boss(6);executive(3);top dog(2);vip(2);celebrity(2);expert(2);head honcho(1);pro(1);ceos(1);important people(1);chiefs(1);top banana(1);hotshot(1);higher ups(1);wealthy(1);executives(1);people at top(1);higher up(1);superior(1);notable(1);bosses(1);higherups(1);execs(1);upper echelon(1);elite(1);socialite(1);ceo(1);brass(1);kingpin(1),"[""important person"", ""boss"", ""executive"", ""top dog"", ""vip"", ""celebrity"", ""expert"", ""head honcho"", ""pro"", ""ceos"", ""important people"", ""chiefs"", ""top banana"", ""hotshot"", ""higher ups"", ""wealthy"", ""executives"", ""people at top"", ""higher up"", ""superior"", ""notable"", ""bosses"", ""higherups"", ""execs"", ""upper echelon"", ""elite"", ""socialite"", ""ceo"", ""brass"", ""kingpin""]",important person,30,True,,IDIOMATIC,MOD,0.3889,LOW,nc::EN::IDIOMATIC::MOD::LOW::True,nc:EN:big wig,label_binary_derived_from_compositionality_bin,train
nc:data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv:16,nc,data/extracted/nc/comp-datasets-release-v2/annotations/filtered/en-extra.filtered.csv,16,EN,,black_box,black box,Smart sensors are sold as black boxes despite the fact that their safety justification might require knowledge of their internal structure and development process.,black_box,unknown,black,box,black,box,True,flight recorder(9);recording device(2);recorder(1);equipment(1);data mine(1);secure recording(1);high tech treasurebox(1);computer captains log(1);flight data storage(1);record(1);timeline(1);mysterious(1);hidden process(1);airplane smart sensors(1);crash information box(1);explanation(1);tracker(1);data device(1);historical data record(1);emergency recording(1);recorder box(1);flight box(1);backup data recorder(1);smoking gun(1);information cache(1);secure recorder(1);surveillance device(1);secret information(1);recording machine(1);flight data recorder(1),"[""flight recorder"", ""recording device"", ""recorder"", ""equipment"", ""data mine"", ""secure recording"", ""high tech treasurebox"", ""computer captains log"", ""flight data storage"", ""record"", ""timeline"", ""mysterious"", ""hidden process"", ""airplane smart sensors"", ""crash information box"", ""explanation"", ""tracker"", ""data device"", ""historical data record"", ""emergency recording"", ""recorder box"", ""flight box"", ""backup data recorder"", ""smoking gun"", ""information cache"", ""secure recorder"", ""surveillance device"", ""secret information"", ""recording machine"", ""flight data recorder""]",flight recorder,30,True,,UNKNOWN,HEAD,1.3333,MID,nc::EN::UNKNOWN::HEAD::MID::True,nc:EN:black box,label_binary_derived_from_compositionality_bin,train
